orig_depth,orig_direction,orig_max,orig_mean,orig_median,orig_min,orig_origin,orig_size,orig_spacing,orig_std,path
477,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-952.7669642546392,-845.0,-3024,"(-204.6999969482422, -197.89999389648438, -305.0799865722656)","(512, 512, 477)","(0.78125, 0.78125, 0.625)",1155.1960076130567,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0536/01-01-2000-32762/30456-23059
271,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-975.4524505727845,-871.0,-3024,"(-162.39999389648438, -205.0, -346.0)","(512, 512, 271)","(0.703125, 0.703125, 1.25)",1148.580736555665,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0783/01-01-2000-CT CHEST O CONTR-92469/40196
452,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2264,-542.0941215363224,-852.0,-1024,"(-180.0, -180.0, -255.7100067138672)","(512, 512, 452)","(0.703125, 0.703125, 0.625)",482.3637227053639,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0669/01-01-2000-23004/30814-40144
133,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-756.5570360054647,-871.0,-2048,"(-200.0, -206.0, -348.0)","(512, 512, 133)","(0.78125, 0.78125, 2.5)",809.28449109748,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0257/01-01-2000-CT CAP-00254/4-Recon 3 C-A-P-11671
465,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1746,-911.8281888326009,-662.0,-3024,"(-127.19999694824219, -155.6999969482422, -265.7950134277344)","(512, 512, 465)","(0.585938, 0.585938, 0.625)",1167.09236202161,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0397/01-01-2000-CHEST-76013/31211-Recon 2 ACRIN LARGE-70818
199,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2125,-573.5040393235097,-899.0,-1024,"(-137.716796875, -263.716796875, -386.3999938964844)","(512, 512, 199)","(0.56640625, 0.56640625, 1.79998779296875)",472.61518852550483,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0740/01-01-2000-86986/3000291-03198
157,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1751,-933.6053858957473,-748.0,-3024,"(-146.60000610351562, -154.39999389648438, -312.93499755859375)","(512, 512, 157)","(0.664062, 0.664062, 2.0)",1156.519424023551,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0561/01-01-2000-CHEST-40141/30891-ACRIN LARGE-98509
4,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16382,8839.38571437118,9505.0,0,"(0.0, 0.0, 0.0)","(1736, 2022, 4)","(1.0, 1.0, 1.0)",4049.1217846297072,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0043/01-01-2000-41395/3000980-64282
113,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-769.7573706365265,-897.0,-2048,"(-214.6999969482422, -190.0, -295.25)","(512, 512, 113)","(0.742188, 0.742188, 2.5)",796.5463590386181,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0043/01-01-2000-08605/3000629-31276
122,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-477.3482084117952,-779.0,-1024,"(-157.705078125, -277.705078125, -372.0)","(512, 512, 122)","(0.58984375, 0.58984375, 3.0)",490.9582346229356,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0640/01-01-2000-73460/5446-ThoraxRoutine  3.0  B31s-29989
300,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3000,-486.95200795491536,-813.0,-1000,"(-146.4588165283203, 1.8231525421142578, -734.9000244140625)","(512, 512, 300)","(0.677734375, 0.677734375, 1.0)",509.64213196931047,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0822/01-01-2000-10934/30035-95034
280,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3000,-546.2490482057843,-833.0,-1000,"(-165.8116455078125, 41.07183074951172, -924.699951171875)","(512, 512, 280)","(0.572265625, 0.572265625, 1.0)",511.4045125606434,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0771/01-01-2000-1-27051/30032-08762
230,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-954.2253355109174,-819.0,-3024,"(-187.5, -187.5, -297.5)","(512, 512, 230)","(0.732422, 0.732422, 1.25)",1168.2856701100466,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0890/01-01-2000-CT GUIDED LUNG B-38297/2-03943
103,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1915,-479.11074195787745,-728.0,-1024,"(-164.716796875, -274.716796875, -314.0)","(512, 512, 103)","(0.56640625, 0.56640625, 3.0)",476.42053126102087,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0351/01-01-2000-65527/3000037-32111
301,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1784,-1047.9794796408212,-920.0,-3024,"(-151.1999969482422, -175.0, -356.5)","(512, 512, 301)","(0.683594, 0.683594, 1.25)",1112.0127170717558,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0241/01-01-2000-CT CHEST WO CON-12798/4-15280
1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2203,1162.679367143252,1197.0,0,"(0.0, 0.0, 0.0)","(2021, 2007, 1)","(1.0, 1.0, 1.0)",225.13394365207103,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0241/01-01-2000-CHEST PA - LAT-23143/24959-98534
2,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16350,7297.496881362383,7921.0,1,"(0.0, 0.0, 0.0)","(2022, 2022, 2)","(0.19444444, 0.19444444, 1.0)",3234.6232404373136,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0200/01-01-2000-CHEST PA  LATERAL-48482/55315-CHEST PA  LATERAL-55144
117,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-782.8762854225615,-879.0,-2048,"(-210.0, -210.0, -316.25)","(512, 512, 117)","(0.820312, 0.820312, 2.5)",793.2319708110733,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0200/01-01-2000-CAP LYM PREPOST-54643/6-Recon 3 C-A-P-08613
276,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3000,-520.6024131774902,-876.0,-1000,"(-182.97055053710938, -11.147255897521973, -700.5999755859375)","(512, 512, 276)","(0.638671875, 0.638671875, 1.0)",533.1662074094808,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0412/01-01-2000-79584/30049-08169
125,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1905,-1102.9849295043946,-955.0,-3024,"(-164.1999969482422, -159.5, -322.8399963378906)","(512, 512, 125)","(0.623047, 0.623047, 2.5)",1089.526398462268,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0967/01-01-2000-CT LUNG SCREEN-66502/60723
429,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2240,-882.24627466802,-248.0,-3024,"(-180.0, -188.3000030517578, -279.31500244140625)","(512, 512, 429)","(0.703125, 0.703125, 0.625)",1181.6267369746006,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0430/01-01-2000-CHEST-99032/31276-Recon 2 ACRIN LARGE-58431
126,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-777.5246276249961,-865.0,-2048,"(-253.6999969482422, -220.0, -343.5)","(512, 512, 126)","(0.859375, 0.859375, 2.5)",789.8894346051443,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0081/01-01-2000-04821/3000649-44726
138,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-815.2369554492011,-899.0,-2048,"(-200.0, -200.0, -371.0)","(512, 512, 138)","(0.78125, 0.78125, 2.5)",768.8219266166625,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0221/01-01-2000-THORAX WITH-39271/2-CHEST-20823
2,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16370,6272.851565886035,6871.0,0,"(0.0, 0.0, 0.0)","(2022, 2022, 2)","(0.19444444, 0.19444444, 1.0)",3893.7420626514754,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0221/01-01-2000-CHEST PA  LATERAL-74110/49300-CHEST PA  LATERAL-67511
413,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3072,-913.9333192395818,-682.0,-3024,"(-151.8000030517578, -142.39999389648438, -275.0050048828125)","(512, 512, 413)","(0.625, 0.625, 0.625)",1168.2255157196123,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0922/01-01-2000-00552/30465-27422
236,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2139,-1005.5105725627834,-871.0,-3024,"(-159.8000030517578, -180.0, -296.0)","(512, 512, 236)","(0.703125, 0.703125, 1.25)",1131.9013579729326,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0497/01-01-2000-CT LUNG SCREEN-80488/2-27416
136,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2144,-999.8243925150703,-894.0,-3024,"(-164.8000030517578, -153.5, -380.4800109863281)","(512, 512, 136)","(0.646484, 0.646484, 2.5)",1144.1931123002644,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0759/01-01-2000-32639/2-63696
241,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2207,-525.1924416474782,-815.0,-1024,"(-170.8000030517578, -175.0, -245.2550048828125)","(512, 512, 241)","(0.683594, 0.683594, 1.25)",495.974082659756,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0459/01-01-2000-CHEST-79708/32233-88500
111,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",5996,-815.3714173119347,-920.0,-2048,"(-171.0, -159.8000030517578, -312.75)","(512, 512, 111)","(0.703125, 0.703125, 2.5)",783.8606247250585,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0053/01-01-2000-21938/3000615-59071
1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",4095,1852.69556387346,1904.0,0,"(0.0, 0.0, 0.0)","(2834, 2991, 1)","(1.0, 1.0, 1.0)",609.4132985161709,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0053/01-01-2000-80964/3002014-34671
481,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1945,-1013.4872749471367,-919.0,-3024,"(-180.0, -180.0, -256.3949890136719)","(512, 512, 481)","(0.703125, 0.703125, 0.6249847412109375)",1130.3318873986952,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0698/01-01-2000-CT THORAX WO IV CONTRA-59895/31323-Recon 2 LOW DOSE THROUGH LUNGS-05368
2,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16357,7302.29667280097,8099.0,2,"(0.0, 0.0, 0.0)","(2022, 2022, 2)","(0.19444444, 0.19444444, 1.0)",3563.2586079302177,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0205/01-01-2000-CHEST PA  LATERAL-58237/47563-CHEST PA  LATERAL-64205
135,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-742.4224186650029,-848.0,-2048,"(-191.0, -172.89999389648438, -369.0)","(512, 512, 135)","(0.742188, 0.742188, 2.5)",797.8313713306526,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0205/01-01-2000-CT THORAX WCONTRAST-46243/2-CHEST-78363
244,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2832,-880.7210306105067,-336.0,-3024,"(-169.5, -172.5, -315.1700134277344)","(512, 512, 244)","(0.673828, 0.673828, 1.25)",1187.4817193821639,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0549/01-01-2000-CT LUNG SCREEN-09475/27966
481,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2156,-873.823849271588,-182.0,-3024,"(-179.0, -197.10000610351562, -340.7200012207031)","(512, 512, 481)","(0.703125, 0.703125, 0.625)",1178.1855091397028,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0758/01-01-2000-CHEST-58601/31201-Recon 2 ACRIN LARGE-48835
115,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",6571,-717.1478765404743,-702.0,-2048,"(-226.5625, -226.5625, 1245.5)","(512, 512, 115)","(0.782, 0.782, 3.0)",808.6731597262967,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0421/01-01-2000-94208/5185-27406
462,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3072,-938.9297315506708,-804.0,-3024,"(-187.89999389648438, -190.0, -284.2749938964844)","(512, 512, 462)","(0.742188, 0.742188, 0.625)",1161.441604567944,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0672/01-01-2000-CHEST-44829/31265-Recon 2 ACRIN LARGE-35798
246,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2436,-949.4512309097662,-792.0,-3024,"(-170.6999969482422, -134.0, -319.5)","(512, 512, 246)","(0.585938, 0.585938, 1.25)",1158.0850959962238,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0799/01-01-2000-CT CHEST WO CONTRAST-95037/2-41480
423,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-229.70780346015948,-87.0,-1024,"(-140.740234375, -323.740234375, -352.5)","(512, 512, 423)","(0.51953125, 0.51953125, 0.70001220703125)",400.60325577271163,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0801/01-01-2000-79607/1545-NLST TLC VOL B30F-43476
126,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1910,-944.3522741529677,-817.0,-3024,"(-186.89999389648438, -177.0, -337.239990234375)","(512, 512, 126)","(0.691406, 0.691406, 2.5)",1160.4428558424634,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0528/01-01-2000-CT LUNG SCREEN-26958/29176
265,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3000,-598.4977744336398,-935.0,-1000,"(-176.48568725585938, -55.19792556762695, -687.300048828125)","(512, 512, 265)","(0.716796875, 0.716796875, 1.0)",498.53612033556203,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0535/01-01-2000-14233/30033-96664
280,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3000,-392.20477127347675,-128.0,-1000,"(-207.53387451171875, -59.72417449951172, -747.0)","(512, 512, 280)","(0.80078125, 0.80078125, 1.0)",485.3177053550496,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0834/01-01-2000-64571/30069-55680
429,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2730,-431.2768671707118,-149.0,-1024,"(-149.70703125, -317.70703125, -367.0)","(512, 512, 429)","(0.5859375, 0.5859375, 0.70001220703125)",484.19427127702636,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0863/01-01-2000-81222/3776-NLST TLC VOL B30F-28616
456,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2230,-329.8948372539721,-113.0,-1024,"(-142.720703125, -323.720703125, -368.5)","(512, 512, 456)","(0.55859375, 0.55859375, 0.70001220703125)",462.3573819511691,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0599/01-01-2000-92393/1996-NLST TLC VOL B30F-98606
1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",4095,2019.8564000826007,2099.0,0,"(0.0, 0.0, 0.0)","(2992, 2991, 1)","(0.143, 0.143, 1.0)",579.6100257031192,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0223/01-01-2000-CHEST PA  LATERAL-44160/1-W Chest Pa Sitting-53746
238,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",6974,-865.9934591565814,-947.0,-2048,"(-200.0, -200.0, -332.25)","(512, 512, 238)","(0.78125, 0.78125, 1.25)",762.8348435180513,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0223/01-01-2000-CT ANGIO CHEST NON-CO-53388/2-BOTTOM TO TOP-66896
2,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16349,6534.980609586477,7167.0,307,"(0.0, 0.0, 0.0)","(2021, 2021, 2)","(1.0, 1.0, 1.0)",3518.0653847183507,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0074/01-01-2000-89413/3001581-24643
109,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-799.8071049331525,-913.0,-2048,"(-185.6999969482422, -160.3000030517578, -295.5)","(512, 512, 109)","(0.703125, 0.703125, 2.5)",783.6276712895922,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0074/01-01-2000-21544/3000704-44897
109,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3754,-769.1101823509287,-846.0,-2048,"(-165.625, -172.6562042236328, 1247.0)","(512, 512, 109)","(0.671, 0.671, 3.0)",785.7077927437184,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0707/01-01-2000-72307/5919-72447
417,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-795.812600389659,-127.0,-3024,"(-192.5, -191.5, -250.0050048828125)","(512, 512, 417)","(0.703125, 0.703125, 0.625)",1198.4265148191978,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0858/01-01-2000-CHEST-23169/31232-Recon 2-07446
125,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-747.6957924804688,-852.0,-2048,"(-148.5, -150.0, -350.8500061035156)","(512, 512, 125)","(0.585938, 0.585938, 2.5)",803.9765846210803,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0013/01-01-2000-54750/3000551-80786
2,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16383,4115.897321571014,4340.0,0,"(0.0, 0.0, 0.0)","(1736, 2022, 2)","(1.0, 1.0, 1.0)",1507.1583405178724,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0013/01-01-2000-87109/3001614-81239
501,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-990.1373064189614,-882.0,-3024,"(-180.0, -202.60000610351562, -323.9949951171875)","(512, 512, 501)","(0.703125, 0.703125, 0.625)",1142.1759830316776,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0715/01-01-2000-CT THORAX W IV CONTRAS-75526/30972-135cc  4ccsec-75338
602,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1626,-551.1005148523274,-878.0,-1024,"(-176.39999389648438, -200.1999969482422, -376.06500244140625)","(512, 512, 602)","(0.703125, 0.703125, 0.625)",486.38860702359835,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0665/01-01-2000-CHEST172-42132/32206-Recon 2 ACRIN LARGE-67533
341,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1801,-400.8952888086045,-140.0,-1024,"(-203.62890625, -388.62890625, -378.0)","(512, 512, 341)","(0.7421875, 0.7421875, 1.0)",471.40791673370796,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0729/01-01-2000-30297/3000680-03237
1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2121,1274.7870654336782,1312.0,0,"(0.0, 0.0, 0.0)","(1721, 2007, 1)","(1.0, 1.0, 1.0)",168.12789538806064,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0002/01-01-2000-26851/3000972-22902
261,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1752,-1013.563545168588,-898.0,-3024,"(-175.5, -174.5, -334.5)","(512, 512, 261)","(0.681641, 0.681641, 1.25)",1129.5861807967694,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0002/01-01-2000-98329/3000522-04919
2,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16370,6804.05559248856,7343.0,0,"(0.0, 0.0, 0.0)","(2022, 2022, 2)","(0.19444444, 0.19444444, 1.0)",3715.7071657141464,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0245/01-01-2000-CHEST PA  LATERAL-81121/48726-CHEST PA  LATERAL-79905
116,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-728.6649804937429,-768.0,-2048,"(-170.1999969482422, -180.0, -284.25)","(512, 512, 116)","(0.703125, 0.703125, 2.5)",797.570961337603,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0245/01-01-2000-CT THORAX WCONTRAST-38569/2-CHEST-94083
117,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",4079,-802.7775692409939,-890.0,-2048,"(-127.34300231933594, -136.7187042236328, -1416.5)","(512, 512, 117)","(0.497, 0.497, 3.0)",785.8896183759549,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0901/01-01-2000-20046/5478-09311
278,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-363.6376561226605,-117.0,-1024,"(-143.716796875, -317.716796875, -291.1000061035156)","(512, 512, 278)","(0.56640625, 0.56640625, 1.0)",489.1859768744684,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0859/01-01-2000-77782/3000678-22101
138,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-741.9603299127109,-846.0,-2048,"(-174.10000610351562, -156.5, -362.25)","(512, 512, 138)","(0.722656, 0.722656, 2.5)",802.6023131105429,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0842/01-01-2000-CT THORAX WCONTRAST-51482/3-26488
465,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",1798,-915.0533756215085,-736.0,-3024,"(-188.8000030517578, -196.60000610351562, -279.0950012207031)","(512, 512, 465)","(0.703125, 0.703125, 0.625)",1175.3717413953202,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0939/01-01-2000-CT THORAX WO IV CONTRA-99879/30930-Recon 2 LOW DOSE THROUGH LUNGS-19490
260,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3000,-507.59034928541917,-822.0,-1000,"(-151.57542419433594, -12.496101379394531, -733.4000244140625)","(512, 512, 260)","(0.583984375, 0.583984375, 1.0)",510.30177030762326,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0522/01-01-2000-10470/30014-77035
133,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-890.1733369468747,-964.0,-2048,"(-180.89999389648438, -170.0, -350.0)","(512, 512, 133)","(0.664062, 0.664062, 2.5)",765.8782124449043,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0195/01-01-2000-CT THORAX WCONTRAST-75001/3-55750
1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16354,7095.684745164936,6846.0,0,"(0.0, 0.0, 0.0)","(1736, 2022, 1)","(1.0, 1.0, 1.0)",3561.205830842372,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0195/01-01-2000-CHEST PA  LATERAL-20064/57402-77830
223,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-869.9578275979902,-946.0,-2048,"(-193.3000030517578, -200.0, -289.0)","(512, 512, 223)","(0.78125, 0.78125, 1.25)",766.5764729256284,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0109/01-01-2000-40022/3000690-96643
1,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",16343,7041.481874944356,7268.0,180,"(0.0, 0.0, 0.0)","(2022, 2022, 1)","(1.0, 1.0, 1.0)",3283.175927254852,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0109/01-01-2000-06266/3000994-22868
154,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",2189,-978.987154428061,-873.0,-3024,"(-179.6999969482422, -175.0, -298.5799865722656)","(512, 512, 154)","(0.683594, 0.683594, 2.0)",1146.9557481655982,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0966/01-01-2000-17978/3000280-77538
730,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-421.2375757609328,-218.0,-1024,"(-191.634765625, -342.634765625, -472.0)","(512, 512, 730)","(0.73046875, 0.73046875, 0.5)",476.1053243408582,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0621/01-01-2000-03312/3993-NLST0.6 B30f-95820
290,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3000,-565.3824556679562,-887.0,-1000,"(-168.35958862304688, -15.722593307495117, -677.2999877929688)","(512, 512, 290)","(0.638671875, 0.638671875, 1.0)",515.8249870790544,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0583/01-01-2000-18747/30077-81802
247,"(1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0)",3071,-909.0938771205392,-674.0,-3024,"(-174.8000030517578, -198.1999969482422, -243.27000427246094)","(512, 512, 247)","(0.703125, 0.703125, 1.25)",1173.394700651463,/lustre4/2/managed_datasets/LIDC-IDRI/LIDC-IDRI-0615/01-01-2000-CHEST-92331/30885-87176
